price,style,link,name
15.90,Baltic Porter,http://www.mundodascervejas.com/cerveja-3-lobos-bravo-355ml.html,Cerveja 3 Lobos Bravo - 355ml (Val. 30/07/2016)
19.50,Spice/Herb - ,https://www.wbeer.com.br/cervejas/coruja-labareda-500ml/prod14687.html,Coruja Labareda - 500ml
17.79,,http://www.emporioveredas.com.br/cerveja-wells-banana-bread-beer-330ml-3296.html,Cerveja Wells Banana 500ml 
18.90,Bitter,http://www.emporioveredas.com.br/cerveja-wells-bombardier-500-ml.html,Cerveja Wells Bombardier 500 Ml
5.80,Lager,http://www.emporioveredas.com.br/cerveja-estrella-galicia-premium-lager-200ml-3307.html,Cerveja Estrella Galicia Premium Lager 330ml
16.50,Dunkel,http://www.emporioveredas.com.br/cerveja-alem-benediktiner-weiss-dunkel.html,Cerveja Alemã Benediktiner Weiss Dunkel
3.90,Lager,http://www.emporioveredas.com.br/cerveja-estrella-galicia-premium-lager-200ml-3360.html,Cerveja Estrella Galicia Premium Lager Lata 269ml
24.30,Lager,http://www.emporioveredas.com.br/cerveja-brewdog-zeitgeist-330-ml.html,Cerveja Brewdog Zeitgeist 330 Ml
7.40,Strong Ale,http://www.emporioveredas.com.br/cerveja-estrella-galicia-1906-red-vintage-330ml.html,Cerveja Estrella Galicia 1906 Red Vintage 330ml
12.50,Strong Ale,http://www.emporioveredas.com.br/cerveja-estrella-galicia-1906-black-coupage-330ml.html,Cerveja Estrella Galicia 1906 Black Coupage 330ml
22.70,Lager,http://www.emporioveredas.com.br/cerveja-brew-dog-this-is-lager-330-ml-3370.html,Cerveja Brewdog This Is Lager 330 Ml
5.99,Lager,http://www.emporioveredas.com.br/cerveja-corona-extra-330ml-3382.html,Cerveja Corona 210ml 
25.99,Witbier,http://www.emporioveredas.com.br/cerveja-dead-frog-the-seasonal-citrus-wit-355ml.html,Cerveja Dead Frog The Seasonal Citrus Wit - 355ml
29.90,India Pale Ale,http://www.emporioveredas.com.br/cerveja-dead-frog-the-seasonal-citrus-wit-355ml-3407.html,Cerveja Dead Frog Bucking Sheep Buckwheat Ipa - 355ml
25.99,Witbier,http://www.emporioveredas.com.br/cerveja-dead-frog-the-seasonal-citrus-wit-355ml-3406.html,Cerveja Dead Frog The Bold Belgian Pale Ale - 355ml
28.40,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-brazipa-310ml.html,Cerveja Mikkeller Brazipa 310ml
23.50,Session APA,http://www.emporioveredas.com.br/cerveja-brew-dog-trash-blond-446.html,Cerveja Brewdog Dead Pony 330ml
13.90,,http://www.emporioveredas.com.br/cerveja-liefmans-fruitesse-250ml.html,Cerveja Liefmans Fruitesse 250ml
17.00,Weiss - ,https://www.wbeer.com.br/cervejas/providencia-weizen-355ml/prod14497.html,Providência Weizen - 355ml
18.90,Sem Alcool,http://www.emporioveredas.com.br/cerveja-erdinger-weissbier-sport-s-alc.html,Cerveja Erdinger Weissbier Sport -sem Alcool
13.90,Witbier,http://www.emporioveredas.com.br/cerveja-vedett-witte-bier.html,Cerveja Vedett White Bier  330ml      
23.99,,http://www.emporioveredas.com.br/cerveja-st-feuillien-blonde-330ml.html,Cerveja St-feuillien Blonde 330ml 
62.99,Flanders,http://www.emporioveredas.com.br/cerveja-urthel-samaranth-quadrium-750ml.html,Cerveja Urthel Samaranth Quadrium 750ml  
53.49,,http://www.emporioveredas.com.br/cerveja-green-flash-grand-cru-650ml.html,Cerveja Green Flash Grand Cru 650ml 
41.99,,http://www.emporioveredas.com.br/caneca-cerveja-hb-hofbrau-1-litro-702.html,Caneca Cerveja Hb - Hofbrau 500ml
21.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-north-coast-acme-ipa-355ml.html,Cerveja North Coast Acme Ipa 355ml
16.99,Amber Ale,http://www.emporioveredas.com.br/cerveja-north-coast-red-seal-355ml.html,Cerveja North Coast Red Seal 355ml
37.40,India Pale Ale,http://www.emporioveredas.com.br/mikkeller-k-rlek-host-vinter-efterar-vinter-2012.html,Cerveja Mikkeller K:rlek Host Vinter Efterår Vinter 2012 	
18.90,Weiss ,http://www.emporioveredas.com.br/cerveja-erdinger-pikantus-bock-500ml.html,Cerveja Erdinger Pikantus Bock 500ml
54.70,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-crooked-moon-tattoo-d-ipa.html,Cerveja Mikkeller Crooked Moon Tattoo D`ipa
6.50,Sem Alcool,http://www.emporioveredas.com.br/cerveja-bitburger-drive-sem-alcool.html,Cerveja Bitburger Drive - Sem Alcool 355ml
190.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-duvel-1-5-litros.html,"Cerveja Duvel 1,5 Litros"
29.90,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brew-dog-punk-ipa-330ml.html,Cerveja Brewdog Punk Ipa 330ml
30.30,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brew-dog-jack-hammer-330ml.html,Cerveja Brewdog Jack Hammer 330ml
22.99,Blond Ale,http://www.emporioveredas.com.br/cerveja-moinette-blonde-330ml.html,Cerveja Moinette Blonde 330ml
23.99,,http://www.emporioveredas.com.br/cerveja-st-feuillien-blonde-330ml-1461.html,Cerveja St-feuillien Brune 330ml 
22.99,Saison,http://www.emporioveredas.com.br/cerveja-moinette-brune-330ml.html,Cerveja Moinette Brune 330ml
33.70,Brown Ale,http://www.emporioveredas.com.br/cerveja-samuel-smith-nut-brown-ale-550ml.html,Cerveja Samuel Smith Nut Brown Ale 550ml
39.60,Porter,http://www.emporioveredas.com.br/cerveja-samuel-smith-the-famous-taddy-porter-550ml.html,Cerveja Samuel Smith The Famous Taddy Porter 550ml
39.60,Strong Ale,http://www.emporioveredas.com.br/cerveja-samuel-smith-india-ale-500-ml.html,Cerveja Samuel Smith India Ale 500 Ml
39.60,Oatmeal Stout,http://www.emporioveredas.com.br/cerveja-samuel-smith-the-celebrated-oatmeal-stout-550ml.html,Cerveja Samuel Smith The Celebrated Oatmeal Stout 550ml
22.90,Amber Ale,http://www.emporioveredas.com.br/cerveja-anderson-valley-boont-amber-ale-lata-355ml-1549.html,Cerveja Anderson Valley Boont Amber Ale 355ml
23.90,India Pale Ale,http://www.emporioveredas.com.br/cerveja-anderson-valley-hop-ottin-ipa-lata-355ml.html,Cerveja Anderson Valley Hop Ottin Ipa Lata 355ml
22.90,Oatmeal Stout,http://www.emporioveredas.com.br/cerveja-anderson-valley-barney-flats-oat-stout-355ml.html,Cerveja Anderson Valley Barney Flats Oat Stout 355ml
26.90,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-anderson-valley-poleeko-pale-ale-355ml.html,Cerveja Anderson Valley Poleeko Pale Ale 355ml
19.90,Amber Ale,http://www.emporioveredas.com.br/cerveja-anderson-valley-boont-amber-ale-lata-355ml.html,Cerveja Anderson Valley Boont Amber Ale Lata 355ml
36.20,Witbier,http://www.emporioveredas.com.br/cerveja-mikkeller-hoppy-wit-355ml.html,Cerveja Mikkeller Brewed For Brazil Hoppy Wit 355ml
36.20,APA,http://www.emporioveredas.com.br/cerveja-mikkeller-apa-brewed-for-brazil-355ml.html,Cerveja Mikkeller Apa Brewed For Brazil 355ml
36.20,Lager,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-hop-lager-355ml.html,Cerveja Mikkeller Brewed For Brazil Hop Lager 355ml
36.20,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-coffee-ipa-355ml.html,Cerveja Mikkeller Brewed For Brazil Coffee Ipa 355ml
36.20,Session IPA,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-session-ipa-355ml.html,Cerveja Mikkeller Brewed For Brazil Session Ipa 355ml
26.30,Porter,http://www.emporioveredas.com.br/cerveja-rogue-mocha-porter-355ml.html,Cerveja Rogue Mocha Porter 355ml 
36.20,APA,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-brett-apa-355ml.html,Cerveja Mikkeller Brewed For Brazil Brett Apa 355ml
17.00,Dunkel - ,https://www.wbeer.com.br/cervejas/therezopolis-ebenholz-600ml/prod14576.html,Therezópolis Ebenholz - 600ML
17.60,Blond Ale,http://www.emporioveredas.com.br/cerveja-dubuisson-bush-blonde-330ml.html,Cerveja Dubuisson Bush Blonde 330ml
22.40,Tripel,http://www.emporioveredas.com.br/cerveja-silly-abbaye-de-forest-330ml.html,Cerveja Silly Abbaye De Forest 330ml
17.00,Weiss - ,https://www.wbeer.com.br/cervejas/therezopolis-elfenbein-600ml/prod14580.html,Therezópolis Elfenbein - 600ml
22.99,Oktoberfest,http://www.emporioveredas.com.br/cerveja-horny-goat-oktoberfest-lata-473ml.html,Cerveja Horny Goat Oktoberfest Lata 473ml
23.50,Scotch ALe,http://www.emporioveredas.com.br/cerveja-silly-scotch-silly-330ml.html,Cerveja Silly Scotch Ale 330ml
17.00,Pilsner - ,https://www.wbeer.com.br/cervejas/providencia-pilsen-355ml/prod14496.html,Providência Pilsen - 355ml 
20.70,Witbier,http://www.emporioveredas.com.br/cerveja-abaye-des-rocs-blanche-des-honnelles-330ml.html,Cerveja Abbaye Des Rocs Blanche Des Honnelles 330ml
17.00,Premium Lager - ,https://www.wbeer.com.br/cervejas/therezopolis-gold-600ml/prod14574.html,Therezópolis Gold - 600ml
22.10,Strong Ale,http://www.emporioveredas.com.br/cerveja-abaye-des-rocs-la-nounnette-330-ml.html,Cerveja Abbaye Des Rocs La Nounnette 330 Ml
20.99,Weiss ,http://www.emporioveredas.com.br/cerveja-horny-goat-laka-laka-hefeweizen-abacaxi-355ml.html,Cerveja Horny Goat Laka Laka Hefeweizen - Abacaxi - 355ml
